,school_code,school_name,Year,Attendance
244,3504,Borenore Public School,2011,94.1
245,1320,Boronia Park Public School,2011,95.4
246,8582,Bossley Park High School,2011,93.5
247,1321,Bossley Park Public School,2011,95.1
248,1323,Botany Public School,2011,96.2
249,8355,Bourke High School,2011,80.2
250,1326,Bourke Public School,2011,90.4
251,7408,Bourke Street Public School,2011,93.7
252,4538,Bowen Public School,2011,88.4
253,1334,Bowning Public School,2011,92.6
254,8104,Bowral High School,2011,88.8
255,1335,Bowral Public School,2011,93.4
256,1336,Bowraville Central School,2011,87.2
257,4403,Bradbury Public School,2011,93.7
258,4525,Braddock Public School,2011,90.8
259,4406,Bradfordville Public School,2011,93.3
260,1340,Braidwood Central School,2011,89.3
261,1341,Branxton Public School,2011,93.4
262,1345,Breadalbane Public School,2011,96.4
263,1347,Bredbo Public School,2011,93.2
264,1350,Brewarrina Central School,2011,75.8
265,4458,Briar Road Public School,2011,92.2
266,1354,Bribbaree Public School,2011,90.4
267,1358,Brighton-Le-Sands Public School,2011,95.2
268,1360,Bringelly Public School,2011,94.6
269,8513,Brisbane Water Secondary College Umina Campus,2011,87.9
270,8374,Brisbane Water Secondary College Woy Woy Campus,2011,86.6
271,1498,Brisbania Public School,2011,94.1
272,1361,Broadwater Public School,2011,96.3
273,1363,Brocklesby Public School,2011,93.4
274,1367,Broke Public School,2011,93.9
275,8105,Broken Hill High School,2011,86.4
276,1371,Broken Hill North Public School,2011,89.5
277,1369,Broken Hill Public School,2011,91.0
278,1372,Bronte Public School,2011,95.9
279,4566,Brooke Avenue Public School,2011,92.3
280,1377,Brooklyn Public School,2011,96.6
281,1379,Brookvale Public School,2011,93.8
282,4612,Broulee Public School,2011,94.2
283,1387,Brungle Public School,2011,93.2
284,1389,Brunswick Heads Public School,2011,91.3
285,4183,Budgewoi Public School,2011,93.5
286,1402,Bulahdelah Central School,2011,88.5
287,4228,Bullarah Public School,2011,
288,8878,Bulli High School,2011,89.0
289,1411,Bulli Public School,2011,93.9
290,1414,Bundanoon Public School,2011,93.2
291,1415,Bundarra Central School,2011,90.0
292,3765,Bundeena Public School,2011,93.9
293,1421,Bungendore Public School,2011,93.4
294,1424,Bungwahl Public School,2011,94.8
295,4616,Buninyong Public School,2011,89.1
296,1425,Bunnaloo Public School,2011,92.9
297,1432,Burke Ward Public School,2011,90.1
298,1433,Burnside Public School,2011,95.8
299,1688,Buronga Public School,2011,90.2
300,4259,Burraneer Bay Public School,2011,95.2
301,1445,Burrawang Public School,2011,93.4
302,1447,Burren Junction Public School,2011,93.5
303,1449,Burringbar Public School,2011,94.4
304,1453,Burrumbuttock Public School,2011,94.9
305,8152,Burwood Girls High School,2011,94.9
306,1455,Burwood Public School,2011,96.2
307,4337,Busby Public School,2011,90.9
308,4396,Busby West Public School,2011,93.3
309,1460,Buxton Public School,2011,93.2
310,8577,Byron Bay High School,2011,87.8
311,1470,Byron Bay Public School,2011,92.9
312,1471,Cabbage Tree Island Public School,2011,86.5
313,8209,Cabramatta High School,2011,93.0
314,1472,Cabramatta Public School,2011,95.4
315,3980,Cabramatta West Public School,2011,94.1
316,4615,Caddies Creek Public School,2011,95.4
317,4380,Calare Public School,2011,92.6
318,8880,Callaghan College Jesmond Senior Campus,2011,
319,8259,Callaghan College Wallsend Campus,2011,88.3
320,8508,Callaghan College Waratah Campus,2011,87.6
321,4626,Callala Public School,2011,92.7
322,1481,Cambewarra Public School,2011,94.1
323,4484,Cambridge Gardens Public School,2011,93.9
324,8516,Cambridge Park High School,2011,86.3
325,4060,Cambridge Park Public School,2011,91.5
326,8280,Camden Haven High School,2011,87.6
327,8217,Camden High School,2011,92.2
328,1482,Camden Public School,2011,94.2
329,4286,Camden South Public School,2011,95.6
330,1483,Camdenville Public School,2011,95.6
331,1485,Cammeray Public School,2011,95.7
332,4490,Campbellfield Public School,2011,92.4
333,4277,Campbelltown East Public School,2011,92.7
334,4126,Campbelltown North Public School,2011,93.4
335,8180,Campbelltown Performing Arts High School,2011,87.8
336,1486,Campbelltown Public School,2011,92.8
337,1488,Campsie Public School,2011,96.5
338,1490,Candelo Public School,2011,94.2
339,1492,Caniaba Public School,2011,95.6
340,3983,Canley Heights Public School,2011,95.1
341,8393,Canley Vale High School,2011,95.9
342,1494,Canley Vale Public School,2011,95.1
343,1495,Canobolas Public School,2011,94.3
344,8444,Canobolas Rural Technology High School,2011,82.2
345,8518,Canowindra High School,2011,90.5
346,7301,Canowindra Public School,2011,92.7
347,8107,Canterbury Boys High School,2011,90.3
348,8806,Canterbury Girls High School,2011,92.4
349,1497,Canterbury Public School,2011,94.3
350,5109,Canterbury South Public School,2011,94.8
351,1501,Capertee Public School,2011,96.6
