,School code,School Name,COMPOSITE_CLASS,COUNT,CLASS
115,1178,Bellbrook Public School,COMPOSITE_CLASS_COUNT,2,14
116,1179,Bellevue Hill Public School,COMPOSITE_CLASS_COUNT,2,14
117,1180,Bellimbopinni Public School,COMPOSITE_CLASS_COUNT,1,14
118,1181,Bellingen Public School,COMPOSITE_CLASS_COUNT,7,14
119,1182,Belltrees Public School,COMPOSITE_CLASS_COUNT,1,14
120,3927,Belmont North Public School,COMPOSITE_CLASS_COUNT,4,14
121,1183,Belmont Public School,COMPOSITE_CLASS_COUNT,7,14
122,1185,Belmore North Public School,COMPOSITE_CLASS_COUNT,5,14
123,1186,Belmore South Public School,COMPOSITE_CLASS_COUNT,8,14
124,3748,Belrose Public School,COMPOSITE_CLASS_COUNT,3,14
125,1189,Bemboka Public School,COMPOSITE_CLASS_COUNT,3,14
126,1196,Ben Lomond Public School,COMPOSITE_CLASS_COUNT,1,14
127,1198,Ben Venue Public School,COMPOSITE_CLASS_COUNT,1,14
128,1191,Bendemeer Public School,COMPOSITE_CLASS_COUNT,2,14
129,4285,Bennett Road Public School,COMPOSITE_CLASS_COUNT,2,14
130,1199,Berala Public School,COMPOSITE_CLASS_COUNT,0,14
131,1201,Beresfield Public School,COMPOSITE_CLASS_COUNT,11,14
132,4405,Beresford Road Public School,COMPOSITE_CLASS_COUNT,7,14
133,4450,Berinba Public School,COMPOSITE_CLASS_COUNT,5,14
134,1202,Berkeley Public School,COMPOSITE_CLASS_COUNT,7,14
135,1203,Berkeley Vale Public School,COMPOSITE_CLASS_COUNT,4,14
136,4180,Berkeley West Public School,COMPOSITE_CLASS_COUNT,6,14
137,1204,Bermagui Public School,COMPOSITE_CLASS_COUNT,5,14
138,1205,Berowra Public School,COMPOSITE_CLASS_COUNT,2,14
139,1206,Berridale Public School,COMPOSITE_CLASS_COUNT,3,14
140,1207,Berrigan Public School,COMPOSITE_CLASS_COUNT,4,14
141,1209,Berrima Public School,COMPOSITE_CLASS_COUNT,3,14
142,1211,Berry Public School,COMPOSITE_CLASS_COUNT,7,14
143,4192,Bert Oldfield Public School,COMPOSITE_CLASS_COUNT,6,14
144,3944,Beverly Hills North Public School,COMPOSITE_CLASS_COUNT,10,14
145,1215,Beverly Hills Public School,COMPOSITE_CLASS_COUNT,9,14
146,1217,Bexhill Public School,COMPOSITE_CLASS_COUNT,4,14
147,2308,Bexley North Public School,COMPOSITE_CLASS_COUNT,7,14
148,7406,Bexley Public School,COMPOSITE_CLASS_COUNT,5,14
149,1219,Bibbenluke Public School,COMPOSITE_CLASS_COUNT,1,14
150,4206,Biddabah Public School,COMPOSITE_CLASS_COUNT,5,14
151,4480,Bidwill Public School,COMPOSITE_CLASS_COUNT,0,14
152,1223,Bigga Public School,COMPOSITE_CLASS_COUNT,1,14
153,1224,Bilambil Public School,COMPOSITE_CLASS_COUNT,10,14
154,4359,Bilgola Plateau Public School,COMPOSITE_CLASS_COUNT,1,14
155,1228,Bilpin Public School,COMPOSITE_CLASS_COUNT,3,14
156,1230,Binalong Public School,COMPOSITE_CLASS_COUNT,2,14
157,1231,Binda Public School,COMPOSITE_CLASS_COUNT,1,14
158,1234,Bingara Central School,COMPOSITE_CLASS_COUNT,2,14
159,1237,Binnaway Central School,COMPOSITE_CLASS_COUNT,3,14
160,1238,Binya Public School,COMPOSITE_CLASS_COUNT,1,14
161,3988,Biraban Public School,COMPOSITE_CLASS_COUNT,5,14
162,1240,Birchgrove Public School,COMPOSITE_CLASS_COUNT,4,14
163,4057,Birrong Public School,COMPOSITE_CLASS_COUNT,4,14
164,1247,Black Hill Public School,COMPOSITE_CLASS_COUNT,3,14
165,1249,Black Mountain Public School,COMPOSITE_CLASS_COUNT,2,14
166,4190,Black Springs Public School,COMPOSITE_CLASS_COUNT,1,14
167,3966,Blackalls Park Public School,COMPOSITE_CLASS_COUNT,6,14
168,4453,Blackett Public School,COMPOSITE_CLASS_COUNT,9,14
169,1246,Blackheath Public School,COMPOSITE_CLASS_COUNT,11,14
170,4197,Blacksmiths Public School,COMPOSITE_CLASS_COUNT,3,14
171,4061,Blacktown North Public School,COMPOSITE_CLASS_COUNT,5,14
172,4193,Blacktown South Public School,COMPOSITE_CLASS_COUNT,3,14
173,4116,Blacktown West Public School,COMPOSITE_CLASS_COUNT,4,14
174,1252,Blackville Public School,COMPOSITE_CLASS_COUNT,1,14
175,4559,Blackwell Public School,COMPOSITE_CLASS_COUNT,4,14
176,4535,Blairmount Public School,COMPOSITE_CLASS_COUNT,4,14
177,1254,Blakebrook Public School,COMPOSITE_CLASS_COUNT,2,14
178,1255,Blakehurst Public School,COMPOSITE_CLASS_COUNT,2,14
179,1256,Blandford Public School,COMPOSITE_CLASS_COUNT,2,14
180,1257,Blaxcell Street Public School,COMPOSITE_CLASS_COUNT,0,14
181,4313,Blaxland East Public School,COMPOSITE_CLASS_COUNT,4,14
182,1258,Blaxland Public School,COMPOSITE_CLASS_COUNT,5,14
183,1260,Blayney Public School,COMPOSITE_CLASS_COUNT,9,14
184,5265,Bletchington Public School,COMPOSITE_CLASS_COUNT,1,14
185,4585,Bligh Park Public School,COMPOSITE_CLASS_COUNT,4,14
186,1261,Blighty Public School,COMPOSITE_CLASS_COUNT,2,14
187,4623,Blue Haven Public School,COMPOSITE_CLASS_COUNT,1,14
188,1266,Boambee Public School,COMPOSITE_CLASS_COUNT,9,14
189,1269,Bobin Public School,COMPOSITE_CLASS_COUNT,1,14
