,School code,School Name,COMPOSITE_CLASS,COUNT,CLASS
5215,1165,Beechwood Public School,PCT_COMPOSITE_CLASS_STUDENTS,64.6,14
5216,1166,Beecroft Public School,PCT_COMPOSITE_CLASS_STUDENTS,3.5,14
5217,1167,Beelbangera Public School,PCT_COMPOSITE_CLASS_STUDENTS,88.6,14
5218,1168,Bega Valley Public School,PCT_COMPOSITE_CLASS_STUDENTS,89,14
5219,4370,Belair Public School,PCT_COMPOSITE_CLASS_STUDENTS,11.4,14
5220,4663,Bella Vista Public School,PCT_COMPOSITE_CLASS_STUDENTS,NULL,14
5221,3979,Bellambi Public School,PCT_COMPOSITE_CLASS_STUDENTS,76.5,14
5222,1175,Bellata Public School,PCT_COMPOSITE_CLASS_STUDENTS,100,14
5223,1177,Bellbird Public School,PCT_COMPOSITE_CLASS_STUDENTS,87.5,14
5224,1178,Bellbrook Public School,PCT_COMPOSITE_CLASS_STUDENTS,100,14
5225,1179,Bellevue Hill Public School,PCT_COMPOSITE_CLASS_STUDENTS,9.5,14
5226,1180,Bellimbopinni Public School,PCT_COMPOSITE_CLASS_STUDENTS,100,14
5227,1181,Bellingen Public School,PCT_COMPOSITE_CLASS_STUDENTS,52.9,14
5228,1182,Belltrees Public School,PCT_COMPOSITE_CLASS_STUDENTS,100,14
5229,3927,Belmont North Public School,PCT_COMPOSITE_CLASS_STUDENTS,66.7,14
5230,1183,Belmont Public School,PCT_COMPOSITE_CLASS_STUDENTS,76.5,14
5231,1185,Belmore North Public School,PCT_COMPOSITE_CLASS_STUDENTS,41.2,14
5232,1186,Belmore South Public School,PCT_COMPOSITE_CLASS_STUDENTS,85.7,14
5233,3748,Belrose Public School,PCT_COMPOSITE_CLASS_STUDENTS,25,14
5234,1189,Bemboka Public School,PCT_COMPOSITE_CLASS_STUDENTS,100,14
5235,1196,Ben Lomond Public School,PCT_COMPOSITE_CLASS_STUDENTS,100,14
5236,1198,Ben Venue Public School,PCT_COMPOSITE_CLASS_STUDENTS,4.8,14
5237,1191,Bendemeer Public School,PCT_COMPOSITE_CLASS_STUDENTS,100,14
5238,4285,Bennett Road Public School,PCT_COMPOSITE_CLASS_STUDENTS,7.9,14
5239,1199,Berala Public School,PCT_COMPOSITE_CLASS_STUDENTS,0,14
5240,1201,Beresfield Public School,PCT_COMPOSITE_CLASS_STUDENTS,84.9,14
5241,4405,Beresford Road Public School,PCT_COMPOSITE_CLASS_STUDENTS,44.7,14
5242,4450,Berinba Public School,PCT_COMPOSITE_CLASS_STUDENTS,53.2,14
5243,1202,Berkeley Public School,PCT_COMPOSITE_CLASS_STUDENTS,58.3,14
5244,1203,Berkeley Vale Public School,PCT_COMPOSITE_CLASS_STUDENTS,14.2,14
5245,4180,Berkeley West Public School,PCT_COMPOSITE_CLASS_STUDENTS,89.7,14
5246,1204,Bermagui Public School,PCT_COMPOSITE_CLASS_STUDENTS,73.9,14
5247,1205,Berowra Public School,PCT_COMPOSITE_CLASS_STUDENTS,13.2,14
5248,1206,Berridale Public School,PCT_COMPOSITE_CLASS_STUDENTS,81.9,14
5249,1207,Berrigan Public School,PCT_COMPOSITE_CLASS_STUDENTS,100,14
5250,1209,Berrima Public School,PCT_COMPOSITE_CLASS_STUDENTS,66.4,14
5251,1211,Berry Public School,PCT_COMPOSITE_CLASS_STUDENTS,63.8,14
5252,4192,Bert Oldfield Public School,PCT_COMPOSITE_CLASS_STUDENTS,64.8,14
5253,3944,Beverly Hills North Public School,PCT_COMPOSITE_CLASS_STUDENTS,41,14
5254,1215,Beverly Hills Public School,PCT_COMPOSITE_CLASS_STUDENTS,47.8,14
5255,1217,Bexhill Public School,PCT_COMPOSITE_CLASS_STUDENTS,85.6,14
5256,2308,Bexley North Public School,PCT_COMPOSITE_CLASS_STUDENTS,41.7,14
5257,7406,Bexley Public School,PCT_COMPOSITE_CLASS_STUDENTS,44.7,14
5258,1219,Bibbenluke Public School,PCT_COMPOSITE_CLASS_STUDENTS,100,14
5259,4206,Biddabah Public School,PCT_COMPOSITE_CLASS_STUDENTS,33.6,14
5260,4480,Bidwill Public School,PCT_COMPOSITE_CLASS_STUDENTS,0,14
5261,1223,Bigga Public School,PCT_COMPOSITE_CLASS_STUDENTS,100,14
5262,1224,Bilambil Public School,PCT_COMPOSITE_CLASS_STUDENTS,86.5,14
5263,4359,Bilgola Plateau Public School,PCT_COMPOSITE_CLASS_STUDENTS,5.4,14
5264,1228,Bilpin Public School,PCT_COMPOSITE_CLASS_STUDENTS,100,14
5265,1230,Binalong Public School,PCT_COMPOSITE_CLASS_STUDENTS,100,14
5266,1231,Binda Public School,PCT_COMPOSITE_CLASS_STUDENTS,100,14
5267,1234,Bingara Central School,PCT_COMPOSITE_CLASS_STUDENTS,43.1,14
5268,1237,Binnaway Central School,PCT_COMPOSITE_CLASS_STUDENTS,100,14
5269,1238,Binya Public School,PCT_COMPOSITE_CLASS_STUDENTS,100,14
5270,3988,Biraban Public School,PCT_COMPOSITE_CLASS_STUDENTS,100,14
5271,1240,Birchgrove Public School,PCT_COMPOSITE_CLASS_STUDENTS,31.1,14
5272,4057,Birrong Public School,PCT_COMPOSITE_CLASS_STUDENTS,20.3,14
5273,1247,Black Hill Public School,PCT_COMPOSITE_CLASS_STUDENTS,79.1,14
5274,1249,Black Mountain Public School,PCT_COMPOSITE_CLASS_STUDENTS,100,14
5275,4190,Black Springs Public School,PCT_COMPOSITE_CLASS_STUDENTS,100,14
5276,3966,Blackalls Park Public School,PCT_COMPOSITE_CLASS_STUDENTS,74.1,14
5277,4453,Blackett Public School,PCT_COMPOSITE_CLASS_STUDENTS,91.1,14
5278,1246,Blackheath Public School,PCT_COMPOSITE_CLASS_STUDENTS,82.3,14
5279,4197,Blacksmiths Public School,PCT_COMPOSITE_CLASS_STUDENTS,62.4,14
5280,4061,Blacktown North Public School,PCT_COMPOSITE_CLASS_STUDENTS,76.7,14
5281,4193,Blacktown South Public School,PCT_COMPOSITE_CLASS_STUDENTS,9.6,14
5282,4116,Blacktown West Public School,PCT_COMPOSITE_CLASS_STUDENTS,25.1,14
5283,1252,Blackville Public School,PCT_COMPOSITE_CLASS_STUDENTS,100,14
5284,4559,Blackwell Public School,PCT_COMPOSITE_CLASS_STUDENTS,19.8,14
5285,4535,Blairmount Public School,PCT_COMPOSITE_CLASS_STUDENTS,20,14
5286,1254,Blakebrook Public School,PCT_COMPOSITE_CLASS_STUDENTS,53.1,14
5287,1255,Blakehurst Public School,PCT_COMPOSITE_CLASS_STUDENTS,14.6,14
5288,1256,Blandford Public School,PCT_COMPOSITE_CLASS_STUDENTS,100,14
5289,1257,Blaxcell Street Public School,PCT_COMPOSITE_CLASS_STUDENTS,0,14
5290,4313,Blaxland East Public School,PCT_COMPOSITE_CLASS_STUDENTS,26.7,14
5291,1258,Blaxland Public School,PCT_COMPOSITE_CLASS_STUDENTS,74.1,14
5292,1260,Blayney Public School,PCT_COMPOSITE_CLASS_STUDENTS,86.4,14
5293,5265,Bletchington Public School,PCT_COMPOSITE_CLASS_STUDENTS,5.3,14
5294,4585,Bligh Park Public School,PCT_COMPOSITE_CLASS_STUDENTS,29.9,14
5295,1261,Blighty Public School,PCT_COMPOSITE_CLASS_STUDENTS,100,14
5296,4623,Blue Haven Public School,PCT_COMPOSITE_CLASS_STUDENTS,4.2,14
5297,1266,Boambee Public School,PCT_COMPOSITE_CLASS_STUDENTS,65.4,14
5298,1269,Bobin Public School,PCT_COMPOSITE_CLASS_STUDENTS,100,14
5299,1271,Bobs Farm Public School,PCT_COMPOSITE_CLASS_STUDENTS,100,14
5300,1272,Bodalla Public School,PCT_COMPOSITE_CLASS_STUDENTS,100,14
5301,1274,Bogan Gate Public School,PCT_COMPOSITE_CLASS_STUDENTS,100,14
5302,4632,Bogangar Public School,PCT_COMPOSITE_CLASS_STUDENTS,57.9,14
5303,1275,Boggabilla Central School,PCT_COMPOSITE_CLASS_STUDENTS,100,14
5304,1276,Boggabri Public School,PCT_COMPOSITE_CLASS_STUDENTS,42,14
5305,1286,Bolwarra Public School,PCT_COMPOSITE_CLASS_STUDENTS,13,14
5306,1287,Bomaderry Public School,PCT_COMPOSITE_CLASS_STUDENTS,31.7,14
5307,1288,Bombala Public School,PCT_COMPOSITE_CLASS_STUDENTS,55.1,14
5308,1290,Bonalbo Central School,PCT_COMPOSITE_CLASS_STUDENTS,75.5,14
5309,1292,Bondi Beach Public School,PCT_COMPOSITE_CLASS_STUDENTS,16.6,14
5310,7407,Bondi Public School,PCT_COMPOSITE_CLASS_STUDENTS,11.3,14
5311,1293,Bongongo Public School,PCT_COMPOSITE_CLASS_STUDENTS,100,14
5312,2532,Bonnells Bay Public School,PCT_COMPOSITE_CLASS_STUDENTS,12,14
5313,4507,Bonnet Bay Public School,PCT_COMPOSITE_CLASS_STUDENTS,85.5,14
5314,4594,Bonnyrigg Heights Public School,PCT_COMPOSITE_CLASS_STUDENTS,6.4,14
5315,4545,Bonnyrigg Public School,PCT_COMPOSITE_CLASS_STUDENTS,66.8,14
5316,1296,Bonshaw Public School,PCT_COMPOSITE_CLASS_STUDENTS,100,14
5317,1297,Bonville Public School,PCT_COMPOSITE_CLASS_STUDENTS,83.5,14
5318,1302,Boolaroo Public School,PCT_COMPOSITE_CLASS_STUDENTS,100,14
5319,1303,Booligal Public School,PCT_COMPOSITE_CLASS_STUDENTS,100,14
5320,1307,Boomi Public School,PCT_COMPOSITE_CLASS_STUDENTS,100,14
5321,4017,Booragul Public School,PCT_COMPOSITE_CLASS_STUDENTS,80.3,14
5322,1311,Booral Public School,PCT_COMPOSITE_CLASS_STUDENTS,100,14
5323,1313,Boorowa Central School,PCT_COMPOSITE_CLASS_STUDENTS,82,14
5324,1318,Boree Creek Public School,PCT_COMPOSITE_CLASS_STUDENTS,100,14
5325,3504,Borenore Public School,PCT_COMPOSITE_CLASS_STUDENTS,100,14
5326,1320,Boronia Park Public School,PCT_COMPOSITE_CLASS_STUDENTS,30.5,14
5327,1321,Bossley Park Public School,PCT_COMPOSITE_CLASS_STUDENTS,57.7,14
5328,1323,Botany Public School,PCT_COMPOSITE_CLASS_STUDENTS,59.7,14
5329,1326,Bourke Public School,PCT_COMPOSITE_CLASS_STUDENTS,85.7,14
5330,7408,Bourke Street Public School,PCT_COMPOSITE_CLASS_STUDENTS,42.4,14
5331,4538,Bowen Public School,PCT_COMPOSITE_CLASS_STUDENTS,41.9,14
5332,1334,Bowning Public School,PCT_COMPOSITE_CLASS_STUDENTS,100,14
5333,1335,Bowral Public School,PCT_COMPOSITE_CLASS_STUDENTS,19.5,14
5334,1336,Bowraville Central School,PCT_COMPOSITE_CLASS_STUDENTS,100,14
5335,4403,Bradbury Public School,PCT_COMPOSITE_CLASS_STUDENTS,62.2,14
5336,4525,Braddock Public School,PCT_COMPOSITE_CLASS_STUDENTS,10,14
