,School Code,School Full Name,Original RAM Funding $,RAM Funding - post Adjustments $
681,2736.0,Newcastle East Public School,,
682,2738.0,New Lambton Public School,,
683,2740.0,Newport Public School,,
684,2741.0,Newrybar Public School,,
685,2744.0,Newtown North Public School,,
686,2748.0,Niangala Public School,,
687,2749.0,Nicholson Street Public School,,
688,2751.0,Nimbin Central School,,
689,2752.0,Nimmitabel Public School,,
690,2758.0,Narooma Public School,,
691,2759.0,Nords Wharf Public School,,
692,2760.0,Normanhurst Public School,,
693,2761.0,Northbridge Public School,,
694,2763.0,Northmead Public School,,
695,2764.0,North Rocks Public School,,
696,2765.0,North Star Public School,,
697,2766.0,North Sydney Public School,,
698,2769.0,Nowra Public School,,
699,2771.0,Nulkaba Public School,,
700,2781.0,Nundle Public School,,
701,2784.0,Nymboida Public School,,
702,2785.0,Nyngan Public School,,
703,2789.0,Oakdale Public School,,
704,2791.0,Oaklands Central School,,
705,2793.0,The Oaks Public School,,
706,2794.0,Oakville Public School,,
707,2796.0,Oatley Public School,,
708,2797.0,Oberon Public School,,
709,2798.0,O'Connell Public School,,
710,2799.0,Old Bar Public School,,
711,2800.0,Old Bonalbo Public School,,
712,2801.0,Old Guildford Public School,,
713,2811.0,Orange East Public School,,
714,2812.0,Orange Grove Public School,,
715,2814.0,Orara Upper Public School,,
716,2815.0,Orchard Hills Public School,,
717,2818.0,Otford Public School,,
718,2820.0,Ourimbah Public School,,
719,2826.0,Padstow Park Public School,,
720,2827.0,Pallamallawa Public School,,
721,2829.0,Palmers Island Public School,,
722,2831.0,Pambula Public School,,
723,2835.0,Parkes Public School,,
724,2838.0,Parklea Public School,,
725,2840.0,Parramatta Public School,,
726,2841.0,Wooli Public School,,
727,2842.0,Parramatta North Public School,,
728,2843.0,Parramatta West Public School,,
729,2844.0,Paterson Public School,,
730,2846.0,Paxton Public School,,
731,2848.0,Peak Hill Central School,,
732,2849.0,Peakhurst Public School,,
733,2852.0,Peats Ridge Public School,,
734,2855.0,Pelaw Main Public School,,
735,2857.0,Pennant Hills Public School,,
736,2858.0,West Pennant Hills Public School,,
737,2859.0,Penrith Public School,,
738,2860.0,Penrose Public School,,
739,2861.0,Penshurst Public School,,
740,2862.0,Perthville Public School,,
741,2867.0,Picton Public School,,
742,2870.0,Pilliga Public School,,
743,2884.0,Pitt Town Public School,,
744,2886.0,Pleasant Hills Public School,,
745,2887.0,Plumpton Public School,,
746,2890.0,The Pocket Public School,,
747,2893.0,Pomona Public School,,
748,2895.0,Pooncarie Public School,,
749,2896.0,Port Kembla Public School,,
750,2897.0,Portland Central School,,
751,2899.0,Port Macquarie Public School,,
752,2900.0,Premer Public School,,
753,2901.0,Prestons Public School,,
754,2902.0,Pretty Beach Public School,,
755,2904.0,Primbee Public School,,
756,2910.0,Punchbowl Public School,,
757,2913.0,Putney Public School,,
758,2917.0,Quaama Public School,,
759,2918.0,Quakers Hill Public School,,
760,2919.0,Quambone Public School,,
761,2920.0,Quandialla Public School,,
762,2922.0,Queanbeyan Public School,,
763,2926.0,Leppington Public School,,
764,2927.0,Raglan Public School,,
765,2930.0,Rainbow Street Public School,,
766,2931.0,Raleigh Public School,,
